Command,Path,IsOptional,Type,Package,Category,Name,Aliases,Description,Licence
mkfs.vfat,/sbin/fatlabel,1,bundled,dosfstools,dsk,mkfs.vfat,,,GNU GPLv3
mklost+found,,1,bundled,e2fsprogs,dsk,mklost+found,,,GNU GPLv2 + LGPLv2
mknod,,1,busybox,,dsk,,,,GNU GPLv2
mkpasswd,,1,busybox,,usr,,,"Prints a hash for the given or prompted password. You can optionally specify the encryption type (DES, MD5, SHA256, SHA512 and yescrypt) and specify a salt to add some 'randomness' to the hash. This BusyBox implementation functions the same as cryptpw.",GNU GPLv2
mkswap,,1,busybox,,dsk,,,Used to set up a Linux swap area on a given partition or file. It will destroy any data present on the target partition or file.,GNU GPLv2
mktemp,,1,busybox,,gen,,,,GNU GPLv2
more,,1,busybox,,txt,,,,GNU GPLv2
mount,,0,busybox,,dsk,,,,GNU GPLv2
mountpoint,,1,busybox,,dsk,,,,GNU GPLv2
mpg321,,1,bundled,mpg321,fun,mpg123,,A free MP3 player designed to be a drop-in replacement for the non-free mpg123.,GNU GPLv2
mt,,1,bundled,mt-st,dsk,,,"Controls a magnetic tape drive. It provides typical drive operations such as rewinding, skipping and ejecting.",GNU GPLv2
mv,,0,busybox,,gen,,,,GNU GPLv2
nano,,1,bundled,GNU nano,dev,,,A Pico-style text editor.,GNU GPLv3
nasm,,1,bundled,NASM,dev,nasm,,"A portable x86 assembler. Compared to GNU assembler (as), NASM uses Intel-style syntax instead of AT&T-style. Note: if you build ELFs (relocatable objects), you will need a separate linker such as GNU linker (ld) to produce a usable binary from them.",BSD 2-Clause
ndisasm,,1,bundled,NASM,dev,ndisasm,,"A portable x86 disassembler. Compared to GNU objdump, it can disassemble raw binary files with no header, symbol table or debug information present.",BSD 2-Clause
netcat,,1,busybox,,net,,nc,,GNU GPLv2
netstat,,1,busybox,,net,,,"Displays network statistics such as current network connections, network interfaces and routing tables.",GNU GPLv2
nice,,1,busybox,,pro,,,"Runs the given program with a specific scheduling priority (""niceness""). Niceness ranges from -20 (highest priority) to 19 (lowest priority), with 0 being default.",GNU GPLv2
nl,,1,busybox,,txt,,,,GNU GPLv2
nm,,1,bundled,GNU Binutils,dev,GNU nm,,,GNU GPLv3
nohup,,1,busybox,,pro,,,"Allows you to run a program that is immune to hang up signals and output routed away or redirected to a file. The program can then run even when the host terminal is closed, the user logs out, or if it is run on a remote system and the connection is closed afterwards. It is often paired with an ampersand (&) to also send the command to the background.",GNU GPLv2
nproc,,1,busybox,,sys,,,,GNU GPLv2
objcopy,,1,bundled,GNU Binutils,dev,GNU objcopy,,,GNU GPLv3
objdump,,1,bundled,GNU Binutils,dev,GNU objdump,,,GNU GPLv3
od,,1,busybox,,dev,,,,GNU GPLv2
partprobe,,1,busybox,,dsk,,,,GNU GPLv2
partx,,1,bundled,util-linux,dsk,,,Tells the Linux kernel about the presence and numbering of on-disk partitions.,GNU GPLv2
passwd,,1,busybox,,usr,,,"Changes your user password, or if you are the root account, can change a given user's password.",GNU GPLv2
paste,,1,busybox,,txt,,,,GNU GPLv2
patch,,1,busybox,,dev,,,"Applies a patch file to an original file to update it with its contents. A patch file contains a line-by-line difference listing between two files produced by diff, git diff, or similar.",GNU GPLv2
pgrep,,1,busybox,,pro,,,Lists the process IDs for all processes that match the given regex pattern.,GNU GPLv2
pidof,,1,busybox,,pro,,,Lists the process IDs for all processes that match the given name.,GNU GPLv2
ping,,1,busybox,,net,,,,GNU GPLv2
pkill,,1,busybox,,pro,,,"Sends a signal to any processes selected by the given regex pattern. By default, it will try to gracefully terminate the process, but a given signal number (such as 9 for an immediate kill) can be given as well.",GNU GPLv2
pmap,,1,busybox,,pro,,,"Reports the memory map of a given process. It provides the amount of memory used, proportional set sizes (PSS), dirty pages, permissions on map (mode), and mappings (file, anon/allocated or stack). All memory values are in kilobytes (KB).",GNU GPLv2
printenv,,1,busybox,,gen,,,,GNU GPLv2
printf,,0,busybox,,gen,,,,GNU GPLv2
ps,,1,busybox,,pro,,,"Prints a list of running processes. It includes the process ID (PID), user name, time, and command.",GNU GPLv2
pstree,,1,busybox,,pro,,,"Prints a process tree, optionally starting from a given user or process ID.",GNU GPLv2
pwd,,0,busybox,,gen,,,,GNU GPLv2
pwdx,,1,busybox,,pro,,,Shows the current working directory for the given process IDs.,GNU GPLv2
ranlib,,1,bundled,GNU Binutils,dev,GNU ranlib,,,GNU GPLv3
readelf,,1,bundled,GNU Binutils,dev,GNU readelf,,,GNU GPLv3
readlink,,1,busybox,,dsk,,,,GNU GPLv2
readtags,,1,bundled,Universal Ctags,dev,readtags,,"A tool for listing, filtering, sorting and printing entries from a ctags tags file without needing a compatible editor.",GNU GPLv2
realpath,,1,busybox,,gen,,,,GNU GPLv2
resize2fs,,1,bundled,e2fsprogs,dsk,resize2fs,,,GNU GPLv2 + LGPLv2
rev,,0,busybox,,txt,,,,GNU GPLv2
rm,,0,busybox,,gen,,,,GNU GPLv2
rmdir,,1,busybox,,gen,,,,GNU GPLv2
route,,1,busybox,,net,,,,GNU GPLv2
rview,,1,bundled,Vim,dev,rview,,"Opens the Vim editor in restricted and read-only mode. This disables its shell escapes, external commands and ability to write.",Vim
rvim,,1,bundled,Vim,dev,rvim,,Opens the Vim editor in restricted mode. This disables its shell escapes and external commands.,Vim
sc-im,,1,bundled,sc-im,gen,Spreadsheet Calculator Improvised,,"A terminal-based spreadsheet editor based on the original sc (spreadsheet calculator) but adds undo/redo, UTF-8, .xlsx workbook import/export, ODS export, clipboard integration, and Lua-based scripting support. It uses Vim-style keybinds.",BSD 4-Clause
scp,,1,bundled,Dropbear,net,Dropbear (SCP),,An SCP client (a part of Dropbear) for remote file transfer.,MIT + BSD 2-Clause (OpenSSH components)
sed,,0,busybox,,txt,,,,GNU GPLv2
seq,,1,busybox,,gen,,,,GNU GPLv2
setfattr,,1,busybox,,gen,,,"Sets an extended attribute for the given filesystem object. Extended attributes are metadata that go beyond the standard attributes provided by the host filesystem, allowing more information to be associated with a given filesystem object.",GNU GPLv2
